Run1,CQD1,Run2,CQD2,Run3,CQD3,Run4,CQD4,Run5,CQD5,Run6,CQD6,Run7,CQD7,Batch,Operator,Concentration
471.2254639,514.2385864,469.7629395,512.2115479,472.0456238,513.7055054,470.1188354,517.7338257,471.7173462,517.4425659,472.5259094,513.3857422,473.5935974,517.1361694,B,Operator 1,1pM Pb
35.10334396,37.58203125,34.45633316,37.32862854,33.93041611,37.42486954,35.22010422,38.13825226,34.58428574,37.88665009,34.67506409,38.09658051,35.26727676,37.91068649,B,Operator 1,1pM Pb
220.5137024,240.1700745,220.228653,240.7331085,219.7414551,242.1341248,222.2308807,241.2541656,220.89151,241.5526276,221.8122101,240.4686432,223.3331757,242.6860809,B,Operator 1,1pM Pb
341.7233887,375.4646301,344.0536499,377.0379028,343.7654419,373.6310425,344.7746887,374.1113892,344.2617798,373.4317627,345.1629333,374.292511,343.7989197,373.9310608,B,Operator 1,1pM Pb
45.97610474,50.11603928,47.0730896,51.26623535,46.20758057,50.02465439,46.6532402,50.53027725,46.85873795,50.17726135,46.71378326,51.01337814,45.95259857,51.22745514,B,Operator 1,1pM Pb
295.4083252,322.7781982,293.6273804,323.3766479,293.8834534,322.2041016,296.1559448,323.4906311,297.3227234,323.5982971,298.6695862,323.5159302,296.9671936,322.6592712,B,Operator 1,1pM Pb
95.23884583,103.0636749,94.91257477,104.3423691,96.16040802,102.6982727,94.98216248,104.4829636,95.46913147,103.7514191,94.8864975,103.8397903,96.73667145,103.9420776,B,Operator 1,1pM Pb
169.5905457,185.4808197,168.9067993,186.2848358,170.4755402,186.1660919,171.7709351,185.1676331,171.1585083,187.0771332,170.7787476,185.1974792,171.5266418,187.6143036,B,Operator 1,1pM Pb
446.2431946,485.9963989,444.8720093,488.500824,448.0262146,488.8971863,446.3164368,485.8942261,446.9699402,488.1593628,451.2319031,486.3786316,450.4222107,486.9585266,B,Operator 1,1pM Pb
285.2714539,314.736145,284.7745361,313.2953491,284.9902954,311.7841797,288.6983337,313.3765869,288.4963074,313.0935669,288.5849304,311.6654053,286.9318237,312.8381348,B,Operator 1,1pM Pb
182.4026184,199.1373596,182.5018005,198.846344,183.7810822,198.204834,183.2196808,198.0265503,183.2080231,197.866394,181.7931671,198.5376129,183.6498413,199.8457489,B,Operator 1,1pM Pb
385.9396362,424.9215698,387.2142334,426.2391663,387.9074402,424.7678833,390.3566284,423.1360168,389.5637512,424.9396667,390.4134521,422.4368591,390.3878479,424.5125427,B,Operator 1,1pM Pb
420.837616,461.011261,420.7907104,464.1645813,420.885376,460.1260986,423.1791687,461.4036255,422.7286377,463.9385376,427.069397,461.0184021,424.1875916,462.0900879,B,Operator 1,1pM Pb
163.124527,179.1795044,163.7409515,177.6097565,164.7590332,178.0635376,164.5843811,178.8633881,164.6113892,178.8450928,163.5095825,177.2036896,164.3007965,181.0337982,B,Operator 1,1pM Pb
67.00276184,72.72188568,66.10235596,72.97276306,66.13223267,72.70797729,66.87412262,73.0795517,67.38540649,72.22128296,66.66360474,71.90291595,66.51282501,73.02823639,B,Operator 1,1pM Pb
312.4437256,343.559906,311.2792358,341.3330383,312.274231,345.2210999,314.7535706,340.8386536,312.1133728,344.5195618,314.0762939,341.548584,317.0963135,341.5311279,B,Operator 1,1pM Pb
229.280899,251.2705078,230.4474182,251.5304108,228.0469208,250.9190979,230.6631622,251.7839966,232.0280304,249.3004608,230.9324036,250.6251984,232.3346252,250.7680664,B,Operator 1,1pM Pb
82.65441132,88.59249878,82.07315826,89.30747223,82.08919525,89.96946716,81.78903961,89.20079803,81.95846558,89.95726776,82.67806244,90.05226135,82.09693146,89.20801544,B,Operator 1,1pM Pb
143.657547,156.2356873,141.3698578,156.7324371,141.9156189,155.3502197,143.9255829,156.3219452,144.7649078,155.6352081,143.1313934,156.1017761,143.4403381,156.5092468,B,Operator 1,1pM Pb
154.0019379,168.7398376,153.1248169,168.1372375,153.5532837,168.9670715,154.0887451,167.0053406,155.8587799,168.2879333,154.3506927,168.7419739,156.1929626,166.8623962,B,Operator 1,1pM Pb
435.5570984,473.6266785,434.9659119,473.0739746,436.1121216,473.9656677,434.9857788,472.7650146,436.6965637,475.1401062,435.6079407,473.0622559,435.9899902,475.4489746,B,Operator 1,1pM Pb
41.3902092,45.3024826,41.82556534,45.95323944,41.62705231,45.38614655,41.9794693,45.82891846,41.84439087,45.15910339,42.50266647,44.91323471,42.08916473,45.52149963,B,Operator 1,1pM Pb
490.8259888,530.7132568,486.2516174,529.1814575,481.2277832,532.3225098,487.5472412,531.2961426,487.3125305,528.3284302,484.1073914,527.8772583,485.0482483,528.4970703,B,Operator 1,1pM Pb
84.18300629,93.1418457,84.45561981,93.24624634,84.15460205,92.40887451,85.32390594,93.34290314,85.73617554,92.70001221,86.47724152,92.45552826,84.70075989,92.8483963,B,Operator 1,1pM Pb
201.0128784,219.097641,201.6774292,219.6576233,200.1982117,217.902771,201.6611633,220.2898102,203.6752014,220.0057831,200.9141541,218.8861694,202.0574951,220.0806122,B,Operator 1,1pM Pb
87.80844879,95.29083252,87.62779236,96.12178802,87.90062714,95.51377106,87.3944397,96.35440826,87.38136292,96.54193878,87.37346649,94.65630341,88.98629761,95.53481293,B,Operator 1,1pM Pb
194.9272461,213.4045715,193.2134552,212.9904327,194.8112335,211.3896027,195.8291626,213.1631012,195.4553986,211.3375397,196.6257019,215.1645966,197.7003937,212.1231689,B,Operator 1,1pM Pb
376.973053,409.5105896,375.8721924,409.2052307,377.1254883,409.4870605,377.1978455,412.6542969,376.9572754,411.6729736,377.7000427,411.1477051,378.8815002,410.6453552,B,Operator 1,1pM Pb
55.01958847,59.62072372,55.27614594,60.38714981,55.6803627,60.99418259,55.33565903,59.54141617,55.96492767,60.59635162,55.54608154,60.12728119,55.42967224,60.14863586,B,Operator 1,1pM Pb
332.8703613,366.3600464,334.2934265,366.821106,331.275177,363.5689697,335.3089905,364.0159607,333.0471497,364.1454163,334.7337646,361.8924561,333.4797363,362.4683533,B,Operator 1,1pM Pb
369.1908875,398.3319702,366.4370422,397.9312744,368.7311401,397.3676147,365.6495361,399.3283386,369.077179,399.3495483,367.0055542,396.932312,367.5117798,399.1082764,B,Operator 1,1pM Pb
246.8201904,267.2682495,244.6621399,269.6274414,244.3408203,267.9696655,246.451004,268.5184937,246.7532501,268.9759827,246.1500854,266.7087402,246.7437134,266.7340698,B,Operator 1,1pM Pb
77.69091034,83.26840973,76.34951019,84.07066345,76.08524323,84.30545044,76.28117371,84.10337067,77.73612976,83.96994781,76.48820496,83.02672577,76.89723206,83.58318329,B,Operator 1,1pM Pb
325.2572937,356.0846863,325.5474548,355.0000916,323.2865906,354.078949,324.9208069,356.4989319,326.3003235,356.5918884,329.7753601,355.2833252,325.6639709,354.6453247,B,Operator 1,1pM Pb
53.4105835,58.99039459,53.78002548,58.97712708,53.55649948,59.04212189,54.1609993,59.08375549,54.12154007,58.13610458,54.10172272,58.07953644,53.64199448,58.77388382,B,Operator 1,1pM Pb
670.9860229,930.4257202,675.9969482,935.74646,686.4430542,939.1120605,665.4276733,955.1676636,679.5085449,947.5076294,674.0227051,946.2647095,691.0598145,950.9740601,B,Operator 1,500pM Pb
660.2563477,915.1758423,663.1428833,908.2556152,672.1608276,918.5385132,653.2539673,927.5177002,667.2770386,927.6976929,664.3277588,929.0778198,681.8336792,929.8338623,B,Operator 1,500pM Pb
668.3757324,925.3548584,666.9664307,927.3275146,680.7653809,940.1738281,660.5456543,938.3729858,674.7807007,942.69104,668.4893799,938.7609863,682.8277588,937.4613647,B,Operator 1,500pM Pb
671.0092773,940.4315186,677.600708,934.638916,689.5111694,945.1175537,667.0535278,955.2675781,685.6608887,960.2074585,678.2404785,949.8419189,692.6143799,956.600708,B,Operator 1,500pM Pb
664.555542,928.7530518,672.6438599,928.5135498,685.9035034,942.480896,663.6190796,947.7453613,678.7784424,940.8846436,673.5201416,943.223938,688.8353271,941.5748291,B,Operator 1,500pM Pb
651.442627,895.3202515,645.9855347,886.7910156,660.9556885,897.9177856,640.6814575,908.5526123,652.3500977,909.6467285,645.3579712,901.5349121,658.6830444,902.4303589,B,Operator 1,500pM Pb
673.6456909,942.5066528,677.9080811,936.3504639,690.3739624,946.6115723,667.8331909,958.0072021,684.5170288,954.5544434,676.6846313,955.4709473,696.2440186,954.0961304,B,Operator 1,500pM Pb
667.201416,940.1537476,677.0645752,941.3063354,684.0882568,946.2226563,663.7879028,951.5977173,677.7835083,951.9282227,675.024353,948.2941895,688.8974609,948.9154053,B,Operator 1,500pM Pb
663.0908203,920.7964478,660.4768677,920.0037231,679.3422852,926.0372925,655.8631592,935.9497681,673.3720093,933.2371216,664.8154907,932.7979736,677.5484009,936.791748,B,Operator 1,500pM Pb
672.8656006,938.0305786,680.7368164,934.8984375,689.2155151,945.1179199,667.7242432,955.3666992,685.079834,955.1808472,677.1444092,946.4251099,695.2393799,955.8130493,B,Operator 1,500pM Pb
671.6411133,943.2088013,674.6025391,940.6415405,691.8885498,946.3035889,667.8986206,953.7124023,681.5782471,961.7950439,674.0924072,949.1741333,687.8735962,955.6546631,B,Operator 1,500pM Pb
639.914978,880.3372192,639.5505371,885.005127,652.3309937,891.3916626,633.406311,897.8452148,645.3300781,895.1550903,642.5200195,891.4246216,657.1846313,900.3948975,B,Operator 1,500pM Pb
648.0045776,916.6679688,657.3106689,915.5213013,665.4962769,924.5055542,643.8529053,932.8183594,659.4282227,936.5858765,653.7165527,928.9099731,670.8444214,929.0565186,B,Operator 1,500pM Pb
660.2421265,929.9714355,668.4121704,929.8845215,680.2276611,937.3203735,658.010498,948.6812134,672.7562256,949.9074707,664.4639893,941.3649292,680.6638794,947.8529663,B,Operator 1,500pM Pb
672.7967529,940.1665039,676.0178223,935.7952881,691.039978,942.4743652,666.6971436,954.27948,681.7827148,949.4284058,675.1452026,947.8046875,692.9954834,957.729126,B,Operator 1,500pM Pb
647.579895,901.4800415,647.5983887,898.1361694,665.1448975,903.833252,643.1027832,915.4071655,655.6738892,911.6958618,654.4584351,909.1697998,667.4859619,917.9412231,B,Operator 1,500pM Pb
655.484375,929.6038208,662.7092896,925.881958,671.9520874,932.9325562,653.2460938,942.444519,667.2147217,949.7745361,666.9429321,936.6763916,684.0714111,943.3455811,B,Operator 1,500pM Pb
667.9031982,940.1013794,673.6386108,937.1793213,687.6164551,945.2630615,667.2768555,959.8395386,677.7889404,956.0026245,677.395752,952.1047363,690.81604,953.8586426,B,Operator 1,500pM Pb
627.7848511,854.7444458,625.2384033,860.850647,639.1176147,864.7832031,618.6819458,873.8017578,633.7473755,873.2682495,628.8186035,871.1607056,635.7666626,874.9862671,B,Operator 1,500pM Pb
664.4005737,933.8834229,669.1682739,938.2747803,683.9782715,942.161499,660.7462769,959.6195068,673.3146973,955.8417969,669.6762695,945.4493408,683.8139038,953.9480591,B,Operator 1,500pM Pb
674.2585449,945.0733032,676.4146118,936.6106567,696.5344849,948.3013916,665.2952881,960.4390259,686.0402832,961.3793945,674.0182495,952.1794434,692.494873,955.619873,B,Operator 1,500pM Pb
653.8711548,910.9165039,659.3187256,905.7036133,668.7592773,913.2433472,648.4816895,921.3968506,661.81073,920.3002319,658.4804077,921.2169189,675.7159424,922.211853,B,Operator 1,500pM Pb
653.8942871,926.6447144,662.536438,922.2844238,667.6331177,931.7723389,648.4678345,942.6616211,666.0872192,940.543457,657.7506104,933.9489136,673.0294189,931.9573975,B,Operator 1,500pM Pb
632.3709106,874.2510986,632.897644,872.3729858,645.8087769,879.5350952,622.0866699,891.4002686,640.5449219,887.1707764,637.0825806,879.0460815,650.5472412,888.336792,B,Operator 1,500pM Pb
606.5910034,838.1387329,613.3493042,835.4214478,621.9456787,845.3699951,601.1572876,851.6470337,617.2571411,850.0015259,613.6016846,848.4772949,625.2281494,855.0576172,B,Operator 1,500pM Pb
