Wavelength (nm),H_CQD (a.u.),H_50uM (a.u.),HF_CQD (a.u.),HF_50uM (a.u.),S_CQD (a.u.),S_50uM (a.u.),Intensity (a.u.)
503.0299988,280.9345,250.3064,294.278717,260.5684509,141.3833466,125.9411697,280.9345
503.9299927,274.1901,243.1523,285.6428223,251.9510956,137.8621063,124.4486389,274.1901
505,264.781,235.5984,277.4201355,243.6049347,134.1102753,120.9421005,264.781
506.0599976,258.0004,227.007,269.4944153,236.7738647,128.9753723,116.574791,258.0004
506.9599915,247.3736,221.3347,262.938385,230.6625977,125.2447205,112.093689,247.3736
508.0299988,237.4959,212.1882,254.3651123,224.5131989,121.1368408,109.5949173,237.4959
508.9299927,232.8817,206.9353,246.2387848,218.2583771,117.5774384,106.4154053,232.8817
510,224.3862,201.0562,238.4948578,210.59375,114.8368988,102.5548782,224.3862
511.0400085,218.7538,191.7101,231.9250488,204.1980591,109.790535,98.27233124,218.7538
511.9400024,209.666,188.6623,225.2281189,197.5905457,106.3882294,95.56309509,209.666
512.9799805,202.5192,181.065,217.4017944,193.3899841,105.6518402,93.75860596,202.5192
514.0200195,196.9277,174.805,210.9529114,187.4643097,99.79020691,91.43823242,196.9277
515.0700073,190.1694,170.1196,204.2902832,180.078186,97.60124207,88.31508636,190.1694
515.9699707,183.3308,162.8267,197.8346405,176.752533,94.27481842,85.52191925,183.3308
517.0100098,175.2912,158.605,191.4089203,168.2520905,91.36185455,81.75450134,175.2912
518.0499878,171.9625,152.6543,186.2065735,164.0568695,88.90480042,80.18711853,171.9625
518.9500122,166.3248,147.5941,181.6321106,159.2304077,85.56420135,76.48784637,166.3248
520,161.7079,142.3436,175.8981476,153.7968292,84.0881958,73.37479401,161.7079
521.039978,154.2044,137.0416,169.1883698,148.3907166,80.72246552,71.34700012,154.2044
521.9400024,149.4748,133.8236,163.4672089,142.7921295,77.94753265,70.4337616,149.4748
522.9799805,144.5743,128.5714,160.2571716,139.3978882,76.17536926,67.83087158,144.5743
524.0200195,139.4632,124.1863,155.3835907,135.7462769,73.52506256,64.89563751,139.4632
525.0700073,133.8353,119.5356,150.8185883,131.9950104,72.32268524,64.39557648,133.8353
525.9699707,129.5764,115.7869,145.6117249,128.3236389,69.91951752,62.15884018,129.5764
527.0100098,124.3974,113.2289,140.2583313,124.459549,66.98395538,60.17648315,124.3974
528.0499878,121.1858,108.6222,136.7150269,120.0969696,65.80789948,56.43590546,121.1858
528.9500122,117.4493,105.0394,133.1054382,116.3422394,63.05553818,56.18376541,117.4493
530,113.4444,102.0491,129.8256989,112.4973831,61.02079773,54.23160172,113.4444
531.039978,108.2551,98.13588,122.6299896,108.7141724,59.85896683,52.86331558,108.2551
531.9400024,104.1342,94.73353,119.2449493,104.9901123,56.50642776,51.37249756,104.1342
532.9799805,101.1467,91.51884,115.6257248,102.6670837,56.0150528,50.07312012,101.1467
534.0200195,97.97919,86.8392,112.8191833,98.77010345,53.99010849,48.57974625,97.97919
535.0700073,94.05715,84.54023,109.4419556,95.81847382,52.6825943,46.14539719,94.05715
535.9699707,90.64234,81.24719,104.7281799,92.06132507,50.54089355,44.53173828,90.64234
537.0100098,88.53976,78.72947,102.5070114,89.66280365,49.09289169,44.54768372,88.53976
538.0499878,85.73737,76.84892,98.25808716,87.2592392,47.75908279,42.46307373,85.73737
538.9500122,82.69914,73.66991,95.78414917,85.60452271,46.47279739,40.76771927,82.69914
540,78.08875,71.2496,92.1111145,81.93045044,45.46891022,40.04734039,78.08875
541.039978,75.38515,68.19823,89.75704956,78.75511169,42.74634171,38.28129196,75.38515
541.9400024,73.32815,66.41315,87.60720825,76.9878006,41.84360123,37.25466156,73.32815
542.9799805,70.55425,63.59489,83.82801056,73.65115356,41.08302689,36.70900345,70.55425
544.0200195,68.26456,61.73732,82.08863068,71.61952972,39.55017853,35.4383316,68.26456
545.0700073,65.83953,58.26949,78.59347534,69.55348969,37.60739899,33.89946747,65.83953
