Wavelength (nm),H_CQD (a.u.),H_50pM Pb (a.u.),HF_CQD (a.u.),HF_50pM (a.u.),S_CQD (a.u.),S_50pM (a.u.)
503.0299988,286.661438,264.2507935,298.8489685,269.7658081,443.8959045,428.2039795
503.9299927,281.1363525,255.5809326,292.1974792,262.4667969,437.418396,420.6763611
505,269.88797,248.4889984,283.5567017,254.2436066,427.2237854,410.2764893
506.0599976,261.3851624,240.8512573,276.4265442,246.7855988,414.4076843,400.5745239
506.9599915,252.8725891,230.6832275,268.0812378,240.8783875,406.0535278,391.7763062
508.0299988,243.5870361,224.0221558,259.1738281,230.9857025,393.4884338,376.9842834
508.9299927,238.1639862,220.3554688,251.283493,225.6288757,385.4644775,371.3704224
510,229.2804108,213.0213928,243.6177979,222.0485687,376.8596802,362.3463745
511.0400085,219.1845093,203.972229,237.7784729,211.7735138,366.1047668,349.5196533
511.9400024,215.0396729,200.5604095,230.891449,206.537323,357.2114868,343.1559143
512.9799805,206.8407135,191.219986,223.4897919,199.2032471,343.3868103,335.7949219
514.0200195,200.8683014,184.5402527,215.1689301,192.905426,338.9104309,324.4480591
515.0700073,193.1813354,180.5797882,209.125061,187.7736206,330.2339478,314.2913208
515.9699707,188.4011688,172.2447815,203.2614594,180.1768036,322.0179749,305.7339172
517.0100098,181.2924042,166.2019653,197.6507263,176.030426,310.4405518,298.2489319
518.0499878,176.56073,159.8269653,190.6352997,169.2144928,302.9602661,290.7816772
518.9500122,168.7071381,157.1382446,183.3460846,166.184021,294.7717896,281.54953
520,163.9536438,149.9483948,180.534729,159.3925476,288.598877,276.5372925
521.039978,157.6426239,144.0404053,174.11203,155.5304108,277.2896729,268.3370361
521.9400024,152.5553131,138.7835388,168.7209473,152.1092834,273.035614,260.2617798
522.9799805,147.105896,136.2769928,162.853714,145.8258209,264.293396,255.0995636
524.0200195,142.006897,131.8757324,159.1191254,141.6283417,258.2338562,246.486618
525.0700073,136.5104218,127.08078,154.0603027,136.7163086,249.4391327,241.5358276
525.9699707,133.1568909,122.9693222,149.2287292,133.9458313,243.9037781,234.0300903
527.0100098,127.3116455,116.5882874,143.4984436,127.8956375,235.7168884,226.5238953
528.0499878,124.1728973,114.7952347,138.4557495,125.4758224,230.0148773,221.65448
528.9500122,118.8382721,112.0456238,136.1239471,120.8267899,223.0045319,215.3464966
530,114.9509735,107.9277039,132.7735291,116.8401184,218.8376312,209.185791
531.039978,110.7512741,103.0957947,127.2638626,111.7436371,209.7090302,203.3821411
531.9400024,107.0681,100.0525284,123.2009354,111.2723618,204.3692322,196.2833099
532.9799805,104.5436401,95.50522614,119.6417847,106.2998962,199.2363586,190.173233
534.0200195,99.36287689,92.55936432,114.1261978,103.9992523,194.6036835,185.5096741
535.0700073,96.01909637,88.97422791,111.8664017,100.4736786,188.0139771,181.2063141
535.9699707,93.85417938,86.18544006,109.8095474,96.4426651,182.925354,174.0732269
537.0100098,89.28995514,82.9978714,103.8365631,94.63254547,177.5767975,167.3183594
538.0499878,86.39839172,80.41537476,101.1185532,90.2593689,172.9020844,165.7132263
538.9500122,83.36647034,77.09149933,99.08599854,88.20172882,166.7274933,160.6308289
540,80.41423035,74.3609314,96.56131744,84.73175812,163.6123047,155.1466217
541.039978,76.54652405,70.50826263,92.44579315,81.93395996,157.8782806,149.5912323
541.9400024,75.31729126,69.33307648,87.99825287,80.05664063,153.9090729,146.344101
542.9799805,73.56797791,68.19702148,85.9496994,77.60171509,146.9626617,142.25914
544.0200195,70.18644714,64.9227066,83.61695099,74.80722046,144.1188965,138.9423218
545.0700073,66.98852539,62.10403061,80.49332428,72.21446991,139.1290436,132.5199127
545.9699707,64.53216553,60.47576141,80.03651428,69.31394196,135.9577332,129.2641296
547.0100098,62.60270691,58.61180878,75.45090485,67.10423279,130.8969879,125.23806
548.0499878,61.00517654,56.12161255,73.39179993,65.71233368,127.7445831,121.8884964
548.9500122,58.37082672,54.26345825,71.67768097,64.96218109,124.2716904,119.1851196
550,57.23185349,51.92379761,69.16052246,62.13732147,120.0811462,115.8690796
551.039978,54.39217758,50.08274078,67.61759186,58.91614532,115.9905319,110.9810257
551.9400024,53.00743866,48.64624405,65.1665802,59.09770966,113.785614,108.7959824
552.9799805,50.05701447,47.85050964,63.0546875,55.31322861,109.4658813,104.6019287
554.0200195,47.86034393,45.19080734,61.72357941,53.62210464,106.0069275,102.6884613
555.0700073,47.49760437,43.50126266,58.6000824,52.72528458,103.7470093,97.57800293
555.9699707,45.07897568,42.45283127,57.353302,51.46693039,100.1700211,95.83763123
557.0100098,43.73181915,40.2801857,56.16331482,48.90374756,96.69302368,93.11254883
558.0499878,42.28141403,39.43610001,54.39232635,47.86865997,94.27245331,89.42371368
558.9500122,40.82792282,37.8283844,52.24066544,46.04016495,91.69290161,87.56677246
560,39.09103775,35.46295547,49.79580688,44.64257813,87.94213104,84.22246552
561.0200195,37.55260849,35.56279755,48.89933777,43.32061386,85.76982117,81.55563354
562.0499878,35.73734665,34.18324661,46.55433655,42.56930923,82.63906097,78.90794373
562.9400024,35.97183609,32.97511673,45.84100723,41.5314827,80.31416321,77.95094299
563.9699707,34.04590225,30.80379105,44.70458984,39.79354477,78.07620239,75.24776459
565,32.51385498,29.78607368,43.234272,38.43255234,74.68756866,72.42302704
566.0200195,31.79087067,29.32899666,41.53700638,35.92229843,72.20285034,69.34423828
567.0499878,30.30431366,28.51355553,39.33607864,34.78015518,70.96826172,67.44444275
567.9400024,29.74548149,27.29893112,39.1389122,34.27277756,68.56642914,66.56449127
568.9699707,27.97458267,26.22725677,38.03352737,33.26194,66.45054626,63.52770233
570,27.30346489,25.39633369,36.14997482,32.55531311,63.57829285,60.82893753
571.039978,25.83476448,24.31134415,34.90938568,31.22049522,61.69117737,59.55934906
571.9400024,25.05233955,23.49862099,33.92679214,30.32437897,60.43621063,57.54209518
572.9799805,24.09185219,22.11643791,33.45856094,29.1271286,58.40146255,55.84775925
574.0200195,22.82608604,21.71213341,32.08464432,28.24682426,56.81607437,54.4919014
575.0700073,22.46985626,21.0661602,30.97195816,27.36353111,54.24185562,52.14592743
575.9699707,22.11374855,20.21174049,30.12177849,26.75433922,53.54629898,50.69278336
