Wavelength (nm),CQD (a.u.),50pM (a.u.),100pM (a.u.),150pM (a.u.),200pM (a.u.),300pM (a.u.),400pM (a.u.),500pM (a.u.),600pM (a.u.),700pM (a.u.),800pM (a.u.)
542.9799805,73.56797791,68.19702148,65.45698547,64.62168121,63.29472351,63.31739426,61.59536743,56.44035339,55.36078644,55.35988998,54.07733917
544.0200195,70.18644714,64.9227066,63.26089096,62.61835861,61.8585968,61.40287781,59.65013123,54.72492599,54.22102356,53.39406967,52.21684647
545.0700073,66.98852539,62.10403061,60.8521843,59.63659668,57.9209671,57.71819687,57.03432465,52.21414566,51.61798859,51.27622986,50.45791245
545.9699707,64.53216553,60.47576141,58.69173813,56.16682053,55.94676971,57.90488052,55.73357773,50.47849655,49.41872787,50.74105835,47.72647476
547.0100098,62.60270691,58.61180878,56.49431229,55.0483284,54.67200851,55.69246674,53.49208069,48.93042755,48.34565353,48.19293976,46.26394653
548.0499878,61.00517654,56.12161255,54.12592316,53.52144241,52.08924103,53.19668579,51.82221222,46.92839813,47.35383606,46.59140396,44.77611923
548.9500122,58.37082672,54.26345825,53.05960464,51.60414124,51.56691742,51.14015198,49.85072708,45.89429092,44.7035675,45.59077454,43.83178711
550,57.23185349,51.92379761,51.13363647,50.54509354,49.03394318,49.86741638,48.11828995,44.05008698,44.26416016,43.2349968,41.50437546
551.039978,54.39217758,50.08274078,49.28149414,47.42575836,46.93032455,47.03188705,46.27409744,42.1711235,41.97310257,40.85845184,41.0255661
551.9400024,53.00743866,48.64624405,48.20659256,46.697155,45.67648697,46.21764374,45.21243668,40.96647644,40.18637085,40.73871994,38.95772171
552.9799805,50.05701447,47.85050964,46.65886688,44.87314987,44.22748947,45.24090195,42.99692154,40.01644897,38.53392792,39.38912582,37.54940796
554.0200195,47.86034393,45.19080734,45.0888443,43.12668228,42.64134216,42.09105682,41.52016449,38.77287674,37.80791092,38.18706131,36.97054672
555.0700073,47.49760437,43.50126266,42.13989639,41.37546158,40.36727142,41.04966354,39.80401611,37.74608231,36.05570221,35.66490936,35.17293549
555.9699707,45.07897568,42.45283127,40.94112396,40.69587326,39.85522842,39.61499786,37.95210648,35.73883438,35.13498306,34.95335388,34.06935501
557.0100098,43.73181915,40.2801857,39.75937271,38.5434494,38.29362106,38.36280441,37.74629974,34.71489334,33.33286285,33.7109375,32.71632385
558.0499878,42.28141403,39.43610001,38.82128525,38.01699448,36.96828842,36.59134674,36.23339462,33.18259048,33.08719254,32.80766296,32.16277695
558.9500122,40.82792282,37.8283844,37.54261398,36.06871796,35.28607941,36.39056396,35.76654434,31.7610321,31.80443954,31.56619072,30.34282112
560,39.09103775,35.46295547,35.48101807,34.93523407,33.56963348,34.11926651,33.25328445,30.86861801,30.34048653,29.85179901,29.52717018
561.0200195,37.55260849,35.56279755,33.92349243,32.96947861,33.10774994,33.16402054,32.28271866,29.81459618,29.36327362,28.60293961,28.30768394
562.0499878,35.73734665,34.18324661,33.15374756,32.50093079,31.87159538,31.74199486,30.95077133,29.07595634,27.89929008,28.28695869,27.04840088
562.9400024,35.97183609,32.97511673,32.37922668,31.90001869,30.34951019,31.23789215,30.10996056,27.88227272,27.93961334,27.18211174,26.34176636
563.9699707,34.04590225,30.80379105,30.56117058,30.36779404,29.51862717,29.63413429,28.94887543,26.65720367,26.02851295,27.16597366,25.81926346
565,32.51385498,29.78607368,29.10725594,28.8251133,28.74902916,28.58097649,27.6011467,25.89599037,25.55465508,25.2673893,24.42999077
566.0200195,31.79087067,29.32899666,28.73356819,27.57028198,27.22965431,27.46782303,27.00023651,25.11101341,24.63272667,24.43985939,24.29309845
567.0499878,30.30431366,28.51355553,27.92506599,27.26858711,26.36899567,26.60261154,25.93753433,23.82913589,23.59421921,23.45806885,22.35091019
567.9400024,29.74548149,27.29893112,26.74836349,26.434021,26.19963264,26.37202835,25.34787178,22.94438744,22.82559967,22.78488159,22.36977005
568.9699707,27.97458267,26.22725677,25.96301651,24.67459869,24.87146568,24.34498978,23.91802788,22.06776237,22.30736923,21.88662148,21.0551548
570,27.30346489,25.39633369,24.22159958,24.23279381,23.94668007,24.02678108,23.06306648,21.59461212,21.28876495,20.72908211,20.09337807
571.039978,25.83476448,24.31134415,24.25856972,23.86135292,22.3943882,22.40224075,22.42064857,20.73023796,20.53847504,20.36536598,19.72489929
571.9400024,25.05233955,23.49862099,23.26460457,21.88232994,22.29986572,21.91628838,21.6492424,19.82914734,19.95633125,19.42294121,18.78953171
572.9799805,24.09185219,22.11643791,22.19317436,21.65846634,21.01568604,21.62510872,20.77059746,19.21497536,18.91963768,18.43480682,18.47974205
574.0200195,22.82608604,21.71213341,21.27298164,21.49390411,20.74483299,20.50843811,19.9952755,18.67725563,18.60425949,18.40534973,17.56330299
575.0700073,22.46985626,21.0661602,20.65937805,19.65488243,19.89203453,19.75567245,19.95823288,17.78675842,17.56324387,17.65137863,16.89756203
575.9699707,22.11374855,20.21174049,20.00725365,19.54169464,19.24218369,19.28397942,18.67645645,17.55443573,17.02238083,17.38451767,16.59401512
577.0100098,21.1783905,19.67657089,19.65337181,18.86214638,18.94473076,18.7668705,18.23332596,16.9638176,16.2110157,16.62347031,16.17798615
578.0499878,20.38733101,19.11760712,18.35264778,18.35613632,17.5672226,18.08840752,17.11713028,16.1388073,16.01335335,15.80735874,15.80667305
578.9500122,19.87148476,17.43278122,17.83358192,17.40896797,17.08968544,17.33681297,16.9938221,15.66360855,15.41367435,15.19329166,15.01771736
580,18.979599,17.39215851,17.49177361,16.99428368,16.71816254,16.68117332,15.91662884,15.2842226,14.55149651,14.8248167,14.11614227
581.0200195,18.39767647,17.10757446,16.59116745,16.80863762,16.01638031,15.87102222,15.81065941,14.40963364,14.28229713,14.22729588,13.67497349
582.0499878,17.70505524,16.50570869,16.09221268,16.07299232,15.40561867,15.5765419,15.03811455,13.88548088,14.40760136,13.5504055,13.18860531
582.9400024,16.90393829,15.80431652,15.63085079,15.01909542,15.35700035,15.00485325,14.46569538,13.47534084,13.47024536,13.47194481,13.17973328
583.9699707,16.17856598,15.19030476,15.07742405,14.79395199,14.5828619,14.83579636,13.87493038,13.02861691,12.92362309,12.51758289,12.42824459
585,15.92396927,14.61650944,14.4224081,13.8845644,13.85206509,13.8401947,13.40482616,12.79616737,12.67224503,12.12970448,12.07739735
586.0200195,15.22186375,14.33899307,13.53727627,13.64484119,13.09806824,13.95289707,12.86684513,12.1344738,11.90526772,11.54511738,11.74196148
587.0499878,14.71281624,13.59848785,13.13710785,13.15623474,12.6128397,12.88990593,12.3941679,12.11153984,11.77467251,11.18693066,11.02291489
587.9400024,13.96383858,13.10240078,13.13381577,13.1523056,12.36275387,12.38390064,12.06267548,11.1823597,11.06937313,11.11330509,10.99598217
588.9699707,13.74977112,12.7926693,12.32823086,11.93297195,11.87929344,12.41248512,11.90190792,11.00059891,10.93915653,10.5374527,10.51174068
590,13.26773739,12.71127224,12.14367867,11.90527058,11.57239342,12.0246172,11.98526192,10.78828716,10.41871929,10.0419836,10.02972317
591.0200195,12.71486759,11.7091465,11.60398102,11.69209862,11.42632008,11.47032642,11.24141884,9.968482971,9.862718582,10.39940548,9.880539894
592.0499878,12.31109524,11.31405258,11.0084343,10.95765972,10.69783878,10.62964535,10.6366272,9.277371407,9.691865921,9.586896896,9.648159027
592.9400024,12.26175308,11.07661343,10.92457104,10.70858669,10.40533352,11.03330898,10.2938261,9.425853729,9.505594254,9.321433067,9.362606049
593.9699707,11.67791843,10.5802002,10.60273266,10.49073601,9.909383774,10.06207085,10.09593964,9.567672729,9.183615685,9.114265442,9.215279579
595,11.32481003,9.898659706,10.59289169,9.976725578,10.31940365,9.697827339,9.785668373,8.832597733,8.557248116,8.668560982,8.404203415
596.0200195,10.63447857,10.00069237,9.67858696,9.576295853,9.492480278,9.468590736,9.169447899,8.644021988,8.467460632,8.0418787,8.105469704
597.0499878,10.17480946,9.734893799,9.558617592,9.138899803,9.134662628,9.134103775,9.124820709,8.551351547,8.325675964,8.148962021,7.890971184
597.9400024,10.02713013,9.102295876,9.365259171,8.905395508,8.538415909,8.993060112,8.608887672,8.019350052,8.222807884,7.967001915,7.362994194
598.9699707,9.815848351,9.198313713,8.921387672,8.336866379,8.49016571,8.797164917,8.278829575,7.439881325,7.83204937,7.628175735,7.283094883
600,9.519441605,8.815547943,8.530247688,8.139196396,8.264811516,8.277245522,8.294430733,7.565011501,7.57964325,7.107544899,7.369003296
601.0200195,9.016745567,8.208453178,8.497543335,8.273850441,7.944375038,7.868474483,7.863863468,7.295337677,6.662689209,7.326965809,7.093093395
602.0499878,8.481975555,8.118967056,8.316453934,7.852784157,7.478376389,7.582886219,7.455838203,6.771593571,6.707539558,6.88687849,6.785271168
602.9400024,8.263648987,7.832101345,7.708301067,7.403563976,7.265317917,7.567370892,7.588098526,6.652357578,6.610449314,6.332408905,6.524508953
603.9699707,8.527864456,7.345705986,7.580265999,7.280002117,7.153338432,7.389903545,7.117185593,6.553270817,6.31798172,6.503053665,6.302580357
605,7.975078106,7.410520077,7.363413334,6.704370022,6.860475063,6.745701313,6.838340282,6.286909103,6.259802818,6.273918152,6.216136932
606.0200195,7.334499359,6.653341293,6.823015213,6.860024452,6.832848072,6.826513767,6.506577492,6.058701038,5.714285851,5.928054333,5.625483513
607.0499878,7.17835474,6.851294041,6.772072315,6.17899704,6.42982769,6.444112778,6.301425457,5.813290596,5.63957262,5.784880638,5.467414379
607.9400024,7.095779419,6.546281815,6.597363949,5.919778824,5.936388016,6.25703907,6.217762947,5.610454082,5.482089043,5.574368954,5.458423615
608.9699707,6.602087975,6.474062443,6.292366028,6.120481014,5.910785198,6.195088863,6.145855904,5.451802254,5.335172653,5.504131317,5.129574299
610,6.871233463,6.021734238,5.979658127,6.141248703,5.762625694,5.919011593,5.664190292,5.410266876,5.055583,5.11853075,4.762304783
611.0100098,6.104204178,5.787781239,5.965436935,5.762318134,5.401472092,5.540009499,5.415979385,5.11916256,5.077726364,4.982086658,4.853551865
612.0200195,6.224445343,5.527770519,5.744674683,5.396706581,5.160962582,5.364974499,5.128642082,4.976262569,4.717839241,4.831729889,4.62394762
613.039978,5.993880272,5.595188141,5.32141304,5.391138077,5.300686836,5.516791344,5.2414608,4.744355679,4.761970997,4.570654392,4.451879978
614.0499878,5.504173756,5.086685658,5.449171543,4.92255497,4.90563345,4.870061398,4.869159698,4.600638866,4.612793922,4.732908726,4.51598835
615.0700073,5.620238304,4.963345528,4.991334438,4.646425247,4.859461784,4.909451008,5.106322289,4.064044952,4.445391178,4.136820316,4.249893665
615.9400024,5.350215912,4.951916218,4.92443037,4.785414696,4.675873756,4.711028576,4.488239765,4.344336987,4.365628719,4.207850933,4.110017776
616.9500122,5.349245548,5.021142006,4.889567852,4.603835106,4.399179459,4.2628479,4.397908688,4.244895458,3.954193592,4.036713123,3.870220423
617.9699707,4.99930191,4.770242691,4.708044529,4.41322279,4.283258915,4.509095192,4.481041431,4.210763931,4.11730814,3.952013254,3.866327524
618.9799805,4.760088921,4.165094376,4.304607391,4.173266411,4.056511402,4.341861725,4.038189411,4.223969936,3.834290743,3.862030268,3.931811094
620,4.343595505,4.281058311,4.350712299,3.967145443,3.985237837,3.846688032,3.912912607,3.618750095,3.748668909,3.865390301,3.571528673
621.0200195,4.409047604,3.933776617,4.205554962,3.877542496,3.770566702,3.791376591,3.83125329,3.431337595,3.179113626,3.518433571,3.559369802
622.0499878,4.153078556,4.027915478,4.049156189,3.489221811,3.774713755,3.716385365,3.627845764,3.407709122,3.228782177,3.399353981,3.308802605
622.9400024,4.16007185,3.859529972,3.926647425,3.466518164,3.732584953,3.846425772,3.755828619,3.247356892,3.277484417,3.252234936,3.097420216
623.9699707,3.957368851,3.8825562,3.727775335,3.483792782,3.357153893,3.521126747,3.671051264,3.192171574,3.057466507,3.380077124,3.04942894
625,3.616818905,3.798844814,3.44107008,3.295403481,3.365384579,3.249655962,3.217494011,3.394560099,3.131038189,2.968976259,3.048951149
626.0200195,3.611138821,3.36595583,3.461439848,3.337148666,3.291833639,3.027796745,3.274674177,3.15849638,3.031157494,3.019443035,2.786966085
627.0499878,3.561273575,3.252554655,3.34518671,3.035595417,3.218869209,3.117393255,3.16397047,2.823207378,2.565098047,2.990271091,2.639006615
627.9400024,3.195758104,3.14008975,3.263499975,3.133492231,3.039513826,3.202966928,2.972660065,2.84811902,2.869621038,3.181709528,2.766333103
628.9699707,3.253285408,3.335519791,3.27580905,2.946706772,3.190596104,3.017910004,2.923319101,2.832742691,2.5285151,2.753050089,2.517680407
630,3.347221375,2.932060003,3.08251977,2.779399157,2.921758652,2.830162525,2.87894249,2.623191357,2.578316212,2.516125441,2.585190535
631.0100098,3.229918003,3.091860294,2.848884106,2.908800602,2.754707098,2.877677441,2.588168383,2.436311007,2.578372717,2.684769154,2.283904791
632.0200195,3.029225588,2.720144272,2.739037037,2.637387991,2.672029495,2.593034029,2.858563423,2.428987741,2.49626255,2.486623764,2.138113499
633.039978,3.026427984,2.794849634,2.770198822,2.637522936,2.412010193,2.595203638,2.523406029,2.373170376,2.256039619,2.497384071,2.33382082
634.0499878,2.785909176,2.554672718,2.720647335,2.408967495,2.417460918,2.576188564,2.430254698,2.241924047,2.199748278,2.163094521,2.129230261
635.0700073,2.766490936,2.671552896,2.760641098,2.212544203,2.278618097,2.426220179,2.562194109,2.066635132,2.024718285,2.16189909,2.11443305
635.9400024,2.604599476,2.212957859,2.531152725,2.369832516,2.508558035,2.331490278,2.26636076,2.133823156,2.080054045,2.079693794,2.18541193
636.9500122,2.577391386,2.575884104,2.493273735,2.271333694,2.195920229,2.292167425,2.082530975,2.077789068,2.220988274,2.126455069,1.786810994
637.9699707,2.435984612,2.299042702,2.414515018,2.068628073,2.172762632,2.043142319,2.48586607,2.013205528,1.991393685,1.909638166,1.991584897
638.9799805,2.479512453,2.29236722,2.22995162,2.028483868,2.014755964,1.897479534,2.051964283,1.872498512,1.697096467,2.054577112,1.786113024
640,2.167568445,1.885693669,2.290406704,1.995222688,1.982174635,2.068851471,1.948208928,1.930335045,1.689259887,1.873510599,1.834245801
641.0100098,2.150935888,2.0052917,1.963925123,1.889506221,2.127365589,2.09967947,1.875932693,1.734334111,1.667632341,1.622498631,1.819629192
642.0200195,2.219974041,1.926862359,1.891272545,1.860180974,1.928864479,2.06455946,1.814290404,1.628059745,1.72713995,1.72155273,1.591409206
643.039978,1.933984637,2.216013193,1.796746492,1.956404209,1.991808414,2.044245481,1.600997448,1.433732867,1.705732703,1.651550412,1.568385839
644.0499878,1.905655861,1.673525453,1.858710408,1.860980511,1.833296061,1.917305708,1.656163573,1.618169308,1.545724273,1.667037129,1.4250139
645.0700073,1.990063787,1.757688165,1.756691337,1.684991002,1.706816196,1.654018283,1.716075301,1.687464595,1.585144877,1.547443271,1.565078855
645.9400024,2.105762243,1.604748845,1.838159084,1.800241828,1.562805295,1.703034997,1.577042699,1.482114911,1.378542066,1.566367865,1.467484713
646.9500122,1.953321218,1.640447497,1.912284255,1.745005846,1.643669128,1.49388361,1.620141268,1.381176472,1.438889027,1.339360476,1.531116486
647.9699707,1.727140665,1.456270218,1.524326801,1.530541182,1.5665133,1.585932493,1.528520823,1.315008044,1.484593868,1.493094444,1.175548553
648.9799805,1.847325563,1.496964097,1.686411142,1.553136468,1.552056909,1.471057653,1.442838073,1.449234605,1.319242835,1.342226148,1.442334652
650,1.703744054,1.517988801,1.339080215,1.300030351,1.37471652,1.468795061,1.366024017,1.313422561,1.354502678,1.389902949,1.200899243
