Wavelength (nm),CQD (a.u.),50pM (a.u.),100pM (a.u.),150pM (a.u.),200pM (a.u.),300pM (a.u.),400pM (a.u.),500pM (a.u.),600pM (a.u.),700pM (a.u.),800pM (a.u.)
453.9299927,932.4405518,842.3707886,808.3554077,793.9425659,773.5159912,772.1925659,747.7002563,682.3366699,669.083252,661.257019,635.7810059
455,922.0184937,829.7160645,796.2160034,788.3397217,765.6088257,763.3887939,738.9883423,674.4176025,659.3945923,654.9101563,631.7431641
456.0599976,914.5283203,823.9612427,791.1542358,780.293335,763.1486206,757.7271729,735.6213989,669.7457275,656.3741455,648.0125122,626.4647217
456.9599915,905.2367554,814.8738403,783.8026123,775.9741211,752.8789063,750.7281494,731.9206543,660.1972656,649.5070801,643.468811,621.9867554
458.0299988,889.6694946,803.4589844,774.2870483,758.9777222,744.9336548,741.7232666,718.0527954,651.9394531,640.644165,638.5532227,614.0748901
458.9299927,884.6420898,791.8936768,766.0205688,751.0413208,736.298645,726.8909912,709.5712891,645.085022,634.4906006,624.4057007,603.826416
460,872.3494873,783.2392578,755.9320679,741.4692993,725.140625,722.5183105,699.6317749,636.1715698,625.4163818,620.5772705,595.9349365
461.0599976,853.5057983,769.6984863,743.9255981,732.3388672,716.2854614,712.8748779,691.5981445,630.0743408,618.5401001,609.5831909,591.7276611
461.9599915,844.7692871,756.1525879,731.7076416,719.4838257,706.0393677,704.006897,680.0812988,619.9422607,609.161438,603.2991333,579.3334351
463.0299988,825.9325562,746.5217896,721.7717896,709.9107666,693.0373535,686.508728,669.5427246,610.0627441,600.4482422,589.578125,571.8300171
463.9299927,809.4057617,731.7193604,710.522583,695.3236084,681.0480957,677.5947266,655.8926392,597.8602295,589.3458862,581.8166504,562.9776611
465,797.5155029,720.2677002,695.7880859,685.5195313,668.166687,667.7354736,646.8330078,589.1801147,579.3116455,572.4918823,556.3682251
466.0599976,784.8598633,709.1687012,684.380127,670.1195679,656.4829102,655.0050659,635.1629639,580.9241333,569.4397583,563.3017578,542.9110107
466.9599915,771.7186279,696.7391968,672.5653687,659.5811768,645.1428833,643.491394,620.553833,569.272522,558.6209717,553.737793,534.1356812
