CQD1,CQD2,CQD3,CQD4,CQD5,CQD6,CQD7,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Batch,Operator,Concentration
966.7348633,962.3511353,961.5366211,961.3231201,962.9091797,957.0294189,959.5522461,871.6826782,873.1178589,872.1209106,874.7942505,869.8828735,870.8815918,868.0404053,B,Operator 1,10ppb
967.7221069,970.182373,969.9743652,969.0881348,970.0960693,965.7821045,966.5639038,881.1071167,878.9196777,874.0927124,878.0491333,873.8618164,871.3834229,879.9224243,B,Operator 1,10ppb
968.0570068,971.7247925,975.6437988,966.0263062,971.4255371,971.395752,968.7059937,879.4482422,880.6519165,880.7644043,881.6930542,879.6307373,880.1329346,874.6945801,B,Operator 1,10ppb
973.1358032,974.2434692,976.3458862,974.6810913,979.0688477,974.2041016,973.663269,881.9281006,883.168396,884.4213867,886.9074707,885.3995972,883.7058716,883.0063477,B,Operator 1,10ppb
977.0152588,977.9192505,981.8276978,982.3748169,979.2150269,978.5473022,980.1783447,881.8262329,886.4859619,886.1795044,885.5148926,881.3880005,886.8664551,885.3814697,B,Operator 1,10ppb
978.1216431,981.1411133,980.8286133,981.1225586,975.0863037,985.1543579,977.7321167,889.7630615,890.1508179,889.2910767,886.5193481,886.7860718,887.0375366,892.6000366,B,Operator 1,10ppb
982.562439,981.496521,985.4069214,983.9360352,981.1021729,981.5526733,979.1478882,889.0422974,888.1586914,887.3823242,883.8668213,891.559021,887.2096558,883.3120728,B,Operator 1,10ppb
982.0408325,979.7142334,984.0743408,977.7798462,982.2178955,980.9133301,973.2781982,892.0987549,890.1414795,887.8388062,889.5957642,890.2325439,886.546936,885.3447876,B,Operator 1,10ppb
977.2332153,983.4766235,980.7999268,983.2837524,985.3909912,983.6755981,981.8148804,890.3312988,887.619751,886.4016724,888.3577881,887.2970581,887.5090942,886.5305176,B,Operator 1,10ppb
981.670105,980.8774414,981.9606323,981.9464722,981.1121216,982.3132935,979.8513794,893.3692627,887.1247559,892.1580811,889.7398071,890.0567017,887.1604614,886.5080566,B,Operator 1,10ppb
