Batch,FeatureIndex,FinalRatio
C,171,0.8019324742695909
C,179,0.8019324742695909
C,76,0.8019324742695909
C,80,0.8019324742695909
C,74,0.8019324742695909
C,165,0.8019324742695909
C,176,0.8019324742695909
C,181,0.8019324742695909
C,168,0.8019324742695909
C,67,0.8019324742695909
C,173,0.8019324742695909
C,184,0.8019324742695909
C,77,0.8019324742695909
C,174,0.8019324742695909
C,188,0.8019324742695909
C,169,0.8019324742695909
C,75,0.8019324742695909
C,185,0.8019324742695909
C,189,0.8019324742695909
C,200,0.8019324742695909
C,193,0.8019324742695909
C,199,0.8019324742695909
C,192,0.8019324742695909
C,187,0.8019324742695909
C,69,0.8019324742695909
C,81,0.8019324742695909
C,186,0.8019324742695909
C,73,0.8019324742695909
C,66,0.8019324742695909
C,194,0.8019324742695909
C,88,0.8019324742695909
C,190,0.8019324742695909
C,87,0.8019324742695909
C,161,0.8019324742695909
C,158,0.8019324742695909
C,79,0.8019324742695909
C,83,0.8019324742695909
C,162,0.8019324742695909
C,68,0.8019324742695909
C,195,0.8019324742695909
C,160,0.8019324742695909
C,159,0.8019324742695909
C,201,0.8019324742695909
C,86,0.8019324742695909
C,82,0.8019324742695909
C,155,0.8019324742695909
C,89,0.8019324742695909
C,153,0.8019324742695909
C,156,0.8019324742695909
C,85,0.8019324742695909
C,154,0.8019324742695909
C,197,0.8019324742695909
C,92,0.8019324742695909
C,90,0.8019324742695909
C,84,0.8019324742695909
C,198,0.8019324742695909
C,196,0.8019324742695909
C,91,0.8019324742695909
C,65,0.8019324742695909
C,208,0.8019324742695909
C,157,0.8019324742695909
C,94,0.8019324742695909
C,93,0.8019324742695909
C,150,0.8019324742695909
C,206,0.8019324742695909
C,148,0.8019324742695909
C,64,0.8019324742695909
C,99,0.8019324742695909
C,149,0.8019324742695909
C,98,0.8019324742695909
C,106,0.8019324742695909
C,95,0.8019324742695909
C,97,0.8019324742695909
C,147,0.8019324742695909
C,143,0.8019324742695909
C,203,0.8019324742695909
C,151,0.8019324742695909
C,101,0.8019324742695909
C,102,0.8019324742695909
C,63,0.8019324742695909
C,152,0.8019324742695909
C,204,0.8019324742695909
C,145,0.8019324742695909
C,202,0.8019324742695909
C,207,0.8019324742695909
C,114,0.8019324742695909
C,103,0.8019324742695909
C,100,0.8019324742695909
C,144,0.8019324742695909
C,205,0.8019324742695909
C,141,0.8019324742695909
C,109,0.8019324742695909
C,209,0.8019324742695909
C,104,0.8019324742695909
C,96,0.8019324742695909
C,138,0.8019324742695909
C,121,0.8019324742695909
C,110,0.8019324742695909
C,140,0.8019324742695909
C,133,0.8019324742695909
C,108,0.8019324742695909
C,126,0.8019324742695909
C,137,0.8019324742695909
C,112,0.8019324742695909
C,119,0.8019324742695909
C,107,0.8019324742695909
C,116,0.8019324742695909
C,113,0.8019324742695909
C,130,0.8019324742695909
C,125,0.8019324742695909
C,131,0.8019324742695909
C,115,0.8019324742695909
C,134,0.8019324742695909
C,117,0.8019324742695909
C,136,0.8019324742695909
C,62,0.8019324742695909
C,146,0.8019324742695909
C,111,0.8019324742695909
C,210,0.8019324742695909
C,118,0.8019324742695909
C,127,0.8019324742695909
C,142,0.8019324742695909
C,139,0.8019324742695909
C,124,0.8019324742695909
C,105,0.8019324742695909
C,135,0.8019324742695909
C,120,0.8019324742695909
C,61,0.8019324742695909
C,212,0.8019324742695909
C,129,0.8019324742695909
C,211,0.8019324742695909
C,213,0.8019324742695909
C,218,0.8019324742695909
C,122,0.8019324742695909
C,221,0.8019324742695909
C,128,0.8019324742695909
C,132,0.8019324742695909
C,219,0.8019324742695909
C,216,0.8019324742695909
C,123,0.8019324742695909
C,217,0.8019324742695909
C,60,0.8019324742695909
C,59,0.8019324742695909
C,220,0.8019324742695909
C,214,0.8019324742695909
C,215,0.8019324742695909
C,224,0.8019324742695909
C,223,0.8019324742695909
C,222,0.8019324742695909
C,58,0.8019324742695909
C,230,0.8019324742695909
C,226,0.8019324742695909
C,57,0.8019324742695909
C,56,0.8019324742695909
C,227,0.8019324742695909
C,225,0.8019324742695909
C,232,0.8019324742695909
C,228,0.8019324742695909
C,55,0.8019324742695909
C,240,0.8019324742695909
C,231,0.8019324742695909
C,234,0.8019324742695909
C,229,0.8019324742695909
C,53,0.8019324742695909
C,236,0.8019324742695909
C,233,0.8019324742695909
C,54,0.8019324742695909
C,239,0.8019324742695909
C,235,0.8019324742695909
C,242,0.8019324742695909
C,238,0.8019324742695909
C,52,0.8019324742695909
C,237,0.8019324742695909
C,51,0.8019324742695909
C,241,0.8019324742695909
C,243,0.8019324742695909
C,247,0.8019324742695909
C,244,0.8019324742695909
C,245,0.8019324742695909
C,250,0.8019324742695909
