Diff1,Diff2,Diff3,Diff4,Diff5,Diff6,Diff7,Operator,Batch,Concentration
86.90576169999997,81.95837400000005,74.94067380000001,77.53320310000004,74.74639889999992,67.32324219999998,72.7608641999999,Operator 1,B,1pM Pb
82.2747192999999,79.21618650000005,73.06134039999995,72.64959720000002,75.7756958,71.55035400000008,72.75646969999991,Operator 1,B,1pM Pb
77.32617189999996,76.79162600000006,72.85101320000001,77.97332759999995,68.48168950000002,72.35058589999994,67.46826169999997,Operator 1,B,1pM Pb
75.19476320000001,74.47686769999996,69.21112059999996,67.92260750000003,70.9217529,65.15893549999998,66.5627442,Operator 1,B,1pM Pb
74.98950190000005,72.49499509999998,69.60644530000002,70.94842529999994,67.12512200000003,65.0177612,67.17669680000006,Operator 1,B,1pM Pb
71.61352540000007,65.25506589999998,68.05786130000001,65.53411870000002,64.57342530000005,63.86059570000009,57.05670169999996,Operator 1,B,1pM Pb
79.25695799999994,73.6363525999999,77.4367064999999,77.62542730000007,70.66442870000003,79.34295650000001,71.2580567,Operator 1,B,1pM Pb
78.61309819999997,78.3592529,76.55889890000003,74.55438230000004,75.12640379999993,73.17126459999997,66.8945923,Operator 1,B,1pM Pb
76.0623779,73.6813965,71.65570070000001,68.35510250000004,65.69171140000003,67.15527339999994,59.954773000000046,Operator 1,B,1pM Pb
83.35003670000003,76.77990719999991,78.25,83.6859131,72.34118650000005,74.43078620000006,72.86260990000005,Operator 1,B,1pM Pb
68.763916,70.03570560000003,65.20989989999998,63.90692139999999,64.41735840000001,60.87805179999998,62.8196410999999,Operator 1,B,1pM Pb
80.48614500000008,75.0617064999999,79.08087159999991,76.45788570000002,67.13153069999998,67.97735590000002,64.21020510000005,Operator 1,B,1pM Pb
82.27471930000002,73.81762700000002,83.49212639999996,81.41754149999997,71.58697510000002,71.01196290000007,67.7225952,Operator 1,B,1pM Pb
61.471008299999994,62.526122999999984,60.91827389999992,60.77716069999997,61.13549810000006,56.1165160999999,52.11950690000003,Operator 1,B,1pM Pb
69.52429189999998,69.65893559999995,65.11566160000007,65.39331049999998,62.061645500000054,58.206115700000055,57.48089600000003,Operator 1,B,1pM Pb
68.04223630000001,71.48913579999999,70.10418700000002,72.95135489999996,62.91027829999996,62.638061499999935,63.65472409999995,Operator 1,B,1pM Pb
61.20013430000006,64.13250730000004,57.143493600000056,61.03753659999995,55.16339110000001,55.0510865,56.774719300000015,Operator 1,B,1pM Pb
77.05157470000006,78.30657959999996,76.15332030000002,72.84906009999997,70.06140140000002,67.1372070000001,63.99060059999999,Operator 1,B,1pM Pb
66.29919429999995,64.70422359999998,62.35852049999994,64.09100339999998,62.229064900000026,60.15948489999994,55.18945309999992,Operator 1,B,1pM Pb
5.381114960000005,5.152809150000003,5.408428189999995,4.498031610000005,4.642108919999991,4.525260930000002,5.394752500000003,Operator 1,B,1pM Pb
56.05700689999992,51.75714110000001,54.22625730000004,55.88000490000002,50.88726810000003,47.48950189999994,48.14605719999997,Operator 1,B,1pM Pb
66.12011719999998,63.91729729999997,69.19671630000005,67.23846429999992,57.783691400000066,60.68695070000001,49.59490960000005,Operator 1,B,1pM Pb
28.035003599999982,28.38385009999996,29.872253399999977,29.142272899999966,26.564636199999995,24.322631900000033,26.446167000000003,Operator 1,B,1pM Pb
52.60662839999998,55.405273400000056,52.7971192,47.655944899999895,53.4597778000001,46.49505620000002,49.405761700000085,Operator 1,B,1pM Pb
62.53759769999999,59.210876400000075,57.92901610000001,57.19921880000004,54.29675299999997,55.49578859999997,54.755187999999976,Operator 1,B,1pM Pb
64.27233880000006,64.48474120000003,67.93231200000002,65.84246829999995,62.73480219999999,57.23376470000005,55.80017090000001,Operator 1,B,1pM Pb
10.611343300000001,11.751579300000003,11.254898099999991,10.696853599999997,9.581214900000006,10.566986100000008,10.355697699999993,Operator 1,B,1pM Pb
72.29565419999994,71.14703370000007,70.4849243000001,72.70050049999998,70.50994879999996,63.812988299999915,63.73443599999996,Operator 1,B,1pM Pb
44.76214600000003,52.36883540000008,49.8652343,46.03979489999995,44.94152829999996,41.15478519999999,45.08813479999992,Operator 1,B,1pM Pb
12.05908199999999,13.971267699999999,14.708648699999998,12.741912800000023,11.314056399999998,10.889419600000025,10.190978999999999,Operator 1,B,1pM Pb
46.755035400000054,50.59667970000004,44.93374640000002,45.0071410999999,44.7059021,44.9805298,42.38208010000005,Operator 1,B,1pM Pb
50.86773679999999,50.98156740000002,54.325500499999976,50.23199469999997,45.0038452,47.44396979999999,46.169250499999976,Operator 1,B,1pM Pb
75.25457769999991,74.9085083,78.96026610000001,74.70422359999998,74.1734619,62.10449219999998,65.57037360000004,Operator 1,B,1pM Pb
5.492328640000004,4.315757750000003,4.686134339999995,4.409858700000001,4.070514669999994,3.8614768999999995,4.918193819999999,Operator 1,B,1pM Pb
42.77215580000001,44.572021500000005,40.162200900000016,37.492004399999985,39.32873539999997,37.40942380000001,39.913818400000025,Operator 1,B,1pM Pb
62.03015139999991,59.72674559999996,55.40777590000005,56.681518600000004,49.28088379999997,54.6731567999999,48.65002440000001,Operator 1,B,1pM Pb
58.373718199999985,62.955688500000065,56.239807099999894,54.9824218,59.47875979999992,54.05621340000005,55.560607900000036,Operator 1,B,1pM Pb
49.69494629999997,50.71246339999993,49.748718199999985,50.132385200000044,46.45532229999992,46.99145499999997,45.400512700000036,Operator 1,B,1pM Pb
12.413162200000016,12.551925600000004,14.334136999999998,12.46342469999999,9.765808099999987,10.163436899999994,13.424636799999973,Operator 1,B,1pM Pb
18.46679690000002,16.67520139999999,18.143768299999977,14.574707000000018,16.678894000000014,14.72506709999999,14.920440599999978,Operator 1,B,1pM Pb
4.125114450000005,4.534450540000002,5.152065279999995,4.012214659999998,4.3871879599999986,5.74507904,3.284484859999999,Operator 1,B,1pM Pb
5.948715210000003,6.064918519999992,5.290390009999996,7.1138458300000025,5.364868169999994,6.909606929999995,5.826911920000001,Operator 1,B,1pM Pb
24.78656000000001,25.52001949999999,23.12472539999999,22.721466099999986,22.691528300000016,20.216064500000016,17.964874299999963,Operator 1,B,1pM Pb
8.583770709999996,8.35041812,8.183311439999997,7.14912412000001,10.190246560000006,8.743865970000002,9.994232189999991,Operator 1,B,1pM Pb
13.745178199999998,15.205200200000007,13.475311199999993,14.510894799999988,12.940536500000007,15.1382294,14.5229492,Operator 1,B,1pM Pb
5.31370544,6.337345119999995,6.08272934,3.7283935600000007,3.9976120000000037,3.8028717000000043,5.712631219999999,Operator 1,B,1pM Pb
23.384185799999983,24.634109499999994,22.205413900000025,21.463043199999987,21.664337200000034,21.219223100000022,21.422668499999986,Operator 1,B,1pM Pb
75.06109619999995,72.06671140000003,66.56915289999995,72.67352299999993,67.01629630000002,64.3102417,63.892089899999974,Operator 1,B,1pM Pb
11.455749499999996,10.4479142,9.637580900000003,10.867485000000002,8.899154699999997,8.4375687,10.001380900000001,Operator 1,B,1pM Pb
38.5401306,37.8231811,34.861084000000005,34.059692299999995,34.59646609999999,35.211120600000015,41.64126590000001,Operator 1,B,1pM Pb
38.347351,33.59802250000001,38.94049080000002,38.61050420000004,38.52301030000001,37.36581419999999,31.47714229999997,Operator 1,B,1pM Pb
46.36334229999994,46.563201900000024,44.694641099999956,49.25338740000001,41.47869870000005,44.503631600000006,42.52609260000003,Operator 1,B,1pM Pb
48.701355000000035,54.55957030000002,54.040832499999965,49.86444090000009,50.978576700000076,46.58111580000002,45.626281800000015,Operator 1,B,1pM Pb
7.256362919999987,7.542030339999997,7.031272889999997,6.806961060000006,7.02329254,6.995437620000004,6.458709720000002,Operator 1,B,1pM Pb
77.39691159999995,64.57519530000002,72.06329349999999,67.64068610000004,71.8498535,64.86499030000004,61.7644653000001,Operator 1,B,1pM Pb
33.035003700000004,33.19335939999996,35.70565789999995,31.946899400000007,33.773132299999986,29.463104299999998,31.922699000000023,Operator 1,B,1pM Pb
7.180374149999992,6.3412094099999905,5.527389530000008,6.746231080000001,4.454101559999998,5.900382989999997,6.809623720000005,Operator 1,B,1pM Pb
18.7275391,20.2933807,19.795181299999996,19.574493399999994,18.867507899999993,16.700668300000018,17.9931488,Operator 1,B,1pM Pb
12.673095700000005,11.505157500000024,13.589111299999985,10.914764399999996,11.781219499999992,12.346008299999994,11.604888899999992,Operator 1,B,1pM Pb
43.01312250000001,42.44860840000001,41.659881600000006,47.61499029999999,45.72521969999997,40.85983279999999,43.54257199999995,Operator 1,B,1pM Pb
2.4786872900000034,2.872295379999997,3.49445343,2.9181480399999984,3.302364350000005,3.4215164200000032,2.643409730000002,Operator 1,B,1pM Pb
19.6563721,20.504455499999978,22.3926697,19.023284899999993,20.661117599999983,18.656433100000015,19.35290520000001,Operator 1,B,1pM Pb
33.741241400000035,32.9842529,29.865600599999993,29.336700500000006,29.16998289999998,29.12957769999997,30.132141100000013,Operator 1,B,1pM Pb
4.139934540000006,4.193145749999999,3.8170738200000045,3.8770370499999984,3.3185234000000037,4.299594880000001,5.274856569999997,Operator 1,B,1pM Pb
27.36987300000004,29.74926750000003,28.320648199999994,27.334686299999987,26.275573700000052,24.846343999999988,25.692077600000005,Operator 1,B,1pM Pb
7.824829069999993,9.429794329999993,6.537864679999998,9.500801120000006,8.282287630000013,8.9532928,7.205406150000002,Operator 1,B,1pM Pb
15.890274000000005,17.378036500000007,15.690551699999986,13.396697999999986,15.918624899999998,14.418731600000001,16.087661800000006,Operator 1,B,1pM Pb
39.75320429999999,43.62881470000002,40.870971699999984,39.577789300000006,41.1894226,35.146728499999995,36.536315900000034,Operator 1,B,1pM Pb
29.46469110000004,28.520813000000032,26.793884300000002,24.67825320000003,24.597259500000007,23.080474899999956,25.906311099999982,Operator 1,B,1pM Pb
16.734741200000002,16.344543499999986,14.42375180000002,14.806869500000005,14.658370900000023,16.744445799999994,16.195907599999998,Operator 1,B,1pM Pb
38.98193359999999,39.02493290000001,36.8604431,32.779388400000016,35.37591549999996,32.02340700000002,34.124694799999986,Operator 1,B,1pM Pb
40.173644999999965,43.373870899999986,39.24072259999997,38.224456799999984,41.20989990000004,33.94900510000002,37.902496299999996,Operator 1,B,1pM Pb
16.054977400000013,13.868805000000009,13.304504399999985,14.279007000000007,14.233703600000013,13.694107099999997,16.733001700000017,Operator 1,B,1pM Pb
5.719123839999995,6.870407100000008,6.575744620000009,6.205429080000002,4.835876470000002,5.239311209999997,6.515411380000003,Operator 1,B,1pM Pb
31.11618040000002,30.053802500000018,32.94686890000003,26.085082999999997,32.40618900000004,27.47229010000001,24.434814399999993,Operator 1,B,1pM Pb
21.989608799999985,21.08299260000001,22.872177099999988,21.120834400000007,17.27243039999999,19.6927948,18.433441200000004,Operator 1,B,1pM Pb
5.9380874600000055,7.234313970000002,7.8802719099999905,7.411758419999998,7.998802179999998,7.37419890999999,7.111083980000004,Operator 1,B,1pM Pb
12.578140300000001,15.362579299999993,13.434600799999998,12.396362299999993,10.870300299999997,12.970382699999988,13.068908700000009,Operator 1,B,1pM Pb
14.737899699999986,15.012420599999984,15.413787799999994,12.9165955,12.42915339999999,14.391281200000009,10.66943360000002,Operator 1,B,1pM Pb
38.06958010000005,38.108062700000005,37.85354609999996,37.77923579999998,38.44354249999998,37.45431520000005,39.45898439999996,Operator 1,B,1pM Pb
3.9122733999999966,4.1276741,3.759094239999996,3.849449159999999,3.3147125200000005,2.4105682399999964,3.4323349000000007,Operator 1,B,1pM Pb
39.88726799999995,42.92984009999998,51.09472660000006,43.74890140000008,41.01589969999998,43.76986690000001,43.44882200000001,Operator 1,B,1pM Pb
