Loading Index,Batch B,Batch C,Batch D,Batch E
28,0.04403095822605252,0.050475250494056566,0.058612381716277986,0.05981809170688417
29,0.044645803178960705,0.05040864681258775,0.05877088097638002,0.059740138317940825
30,0.046117851496395704,0.05093883212477335,0.05806433773794137,0.06045260692731547
31,0.04835772083234397,0.0512297836385906,0.05957701830869561,0.060692649137579886
32,0.04845280085182174,0.05105444009139636,0.05991504001619816,0.06063511378724562
33,0.04875264125725914,0.051326480835031,0.05914745210403411,0.06020907671124087
34,0.04863470695776902,0.05142036432031105,0.05953866247151204,0.060670905350662406
35,0.05087370094179277,0.05213480443859848,0.06014015292626946,0.061226394486258676
36,0.05353391491498165,0.05252097055024744,0.061069769554540215,0.06168896025274812
37,0.05355251166798412,0.05289031321357902,0.061081174798043675,0.06136014054910556
38,0.053461250585404185,0.05346670227180924,0.06096731408445083,0.061372934979758945
39,0.0537842881199361,0.053738049155485294,0.06061866404381241,0.060633528979674944
40,0.05561143524906173,0.05423297624757123,0.061388540806393006,0.06179318129307642
41,0.05714194944198224,0.05517417621958894,0.06172247945336673,0.062148653587721876
42,0.05714541204439451,0.05543751768287663,0.061713051432517874,0.06196349768987229
43,0.05721067486662795,0.05582074416444903,0.061705811337528796,0.061728549237960936
44,0.056882987821555694,0.05607534755822816,0.061570295303929934,0.06164442394017096
45,0.058009541194591584,0.05679391154632019,0.061796280889137946,0.06205790259990284
46,0.05926622916818296,0.05768073396547284,0.06235758719908728,0.06232099917015877
47,0.05925783552925246,0.05787276933276136,0.06233830793819583,0.06245850093352513
48,0.059322197116353115,0.05817354639793953,0.06219835820020447,0.06228200459637097
49,0.059364408335902535,0.058436146297362664,0.06198584632222753,0.06188169105977259
50,0.05999575133402303,0.05895526359070532,0.06230260062445325,0.06240028658111454
51,0.06073154353944663,0.059329733816793156,0.06251816858050313,0.0625031110129319
52,0.06075450477305832,0.05969958655526609,0.06251872212981728,0.06260969536865317
53,0.06090832462092155,0.06006068088344914,0.06264909493276417,0.06260988376385528
54,0.06103648319521256,0.060003585829027976,0.062445662204421035,0.06228788387955523
55,0.06159859085626259,0.06018770312155409,0.06257346818629478,0.06249861044066115
56,0.06182037120302381,0.060490854077191666,0.0627269870657262,0.06267290772006909
57,0.06184825251743061,0.060602425484850654,0.06267212496927821,0.06267263920548174
58,0.06194702051719464,0.060741046881324263,0.06277708693994231,0.06276646959239804
59,0.062121552409206915,0.060950365957310924,0.0627546972981739,0.06274995360033588
60,0.062292740154837004,0.06096948820768988,0.06272514097689508,0.06270293216015671
61,0.062367857074207445,0.0611629707533299,0.0627909296626744,0.06279549781831233
62,0.06242913527459604,0.06122998552273178,0.06279269079617895,0.06279408438715658
63,0.06249957848133674,0.06135463728646824,0.06280529300801824,0.06278376848651201
64,0.06256910294592757,0.06141053102288003,0.0628512021422401,0.06273564847145108
65,0.06267586036850646,0.06145517909825786,0.06279243858064476,0.06279004542556453
66,0.06270429622035088,0.06161348494230108,0.06282703472067577,0.06281048683540594
67,0.06278248241598484,0.06167995598445799,0.0628513835883045,0.06275096927613312
68,0.06274878205467935,0.061577490253545725,0.06285052589730744,0.06277913548555676
69,0.06283649036360704,0.06162272786380997,0.06275064465092704,0.06280363980902644
70,0.0628826160907541,0.06174544810870033,0.06284940146105038,0.06281482391271463
71,0.06289776174856111,0.06173070094839205,0.06284356776408868,0.06278388550681342
72,0.0628852881334915,0.061710218603091206,0.06284264046271484,0.0627934932089451
73,0.06287178198926051,0.06161715303227028,0.06284738144018151,0.06281576934305066
74,0.0629049829125956,0.06168942276268294,0.06287086663294153,0.06281632276699317
75,0.06295769006645906,0.061650496141706396,0.0628644554459529,0.06280493674199064
76,0.06294078851752874,0.06169190912529076,0.06286202907887652,0.06277866106595856
77,0.06294740277305914,0.0616738026692277,0.06285225384898273,0.0628262826098519
78,0.06295748649968848,0.061745808993003665,0.0628462311499562,0.06284794425747944
79,0.06294479023173147,0.06158524960298236,0.0628757644011389,0.06285570213495735
80,0.0629774901285499,0.06169144661547032,0.06281777318178543,0.06280495639169878
81,0.06294691388119159,0.06162246415820132,0.06289123629390976,0.0628832365876947
82,0.06297203812729193,0.06156051916224214,0.06284756135548232,0.0628501447369528
83,0.06294477825689933,0.061584483942693974,0.0628768728187066,0.062860498865171
84,0.06297853515204216,0.061493473730774316,0.0628688377471813,0.06287294594742475
85,0.06298945341031471,0.06153572424574725,0.06289628368396119,0.06282726704623617
86,0.06297539023833398,0.06156810275143168,0.06288249323170099,0.06288527098510636
87,0.0629541729828274,0.06159324258690676,0.06286446228279119,0.0628526743679939
88,0.06301390625296298,0.06159595541159092,0.06285084816130583,0.06283732430513679
89,0.06298713331278756,0.06155783973652213,0.0628661245089882,0.06286293111662403
90,0.06299706679706299,0.0614972068703572,0.06285562885513743,0.06288430541811256
91,0.06297539107374091,0.06147629773581883,0.06283586346140348,0.06282364634767972
92,0.06300166207755212,0.061502750992065904,0.0628373457144211,0.06287063261829665
93,0.06294176995636452,0.06141977696166887,0.0628156537628049,0.0628478187296181
94,0.06294959804319591,0.061421911769686345,0.06283192970941433,0.06286334056861485
95,0.06298117545251,0.061388433133270054,0.06281074058558533,0.06285892499827819
96,0.06296169484873157,0.06129927919480847,0.06283282410823107,0.06281987783414919
97,0.06292939127451824,0.06138429397530755,0.06284462507820042,0.06280145116972399
98,0.06294674968649289,0.061397537496668875,0.06285607294389686,0.06285786830378277
99,0.06291331515476405,0.06140782001181513,0.0628233417909091,0.06282649762973323
100,0.06292369230554422,0.06132744555691487,0.06285188510252325,0.06286141365749917
101,0.06289752587876282,0.061359113731622054,0.06284406315190796,0.06285601687456298
102,0.06284883793213665,0.06135702018591715,0.06284301024496919,0.0628157426920601
103,0.0628827234024679,0.0613274814993266,0.06279701462531817,0.06280223059767777
104,0.06290751422052275,0.061301704176181394,0.0628357796437573,0.06282749222236712
105,0.06285638446067628,0.061178553842332034,0.06285070066750625,0.06284910548179298
106,0.06281400289543938,0.06139377370758671,0.06279528052777962,0.06286475602766481
107,0.06278980663144276,0.0612584072457478,0.06280500887006593,0.06282644697883027
108,0.06283111089317525,0.06128172758571653,0.06281080477362036,0.06281651633037931
109,0.0628641252948656,0.06130643296822662,0.06275635640248375,0.06279967391765211
110,0.06284384266066217,0.06128845164703878,0.06278778573953703,0.06285463063133073
111,0.06279544596344101,0.061206732785363455,0.06284025567163763,0.06283048162425624
