Loading Index,Batch B,Batch C,Batch D,Batch E
84,0.07431073101583223,0.06010042323684767,0.0730627068929606,0.07110157006702564
85,0.0743018159238803,0.06009382291553505,0.07305900423773468,0.07108594677460979
86,0.0742929015657615,0.06011609697346968,0.0730632637263176,0.07107732161962395
87,0.07427844950374028,0.06014006613115763,0.07306277244328635,0.07107118055966755
88,0.07428340512743088,0.06013752894041172,0.07305038322439412,0.07106815896094612
89,0.07428336702544515,0.06017117028822392,0.07305227937713073,0.07105983870650322
90,0.07426499026523012,0.060130785526123234,0.07304307492121187,0.07104865686498796
91,0.0742460706988997,0.06018283008299181,0.07304771935495505,0.07104488655215666
92,0.0742483407725703,0.06018849794765564,0.07302983101065169,0.07103289126573557
93,0.0742479105624026,0.06022052065594881,0.07302364006519606,0.0710205130764854
94,0.07422170806798002,0.06020583875424038,0.07302171564801602,0.07101551175207706
95,0.07420140974712777,0.06022365520557215,0.07301207183170559,0.07100933914713914
96,0.07420013234280223,0.06021237368231916,0.07300877064604391,0.07098678783938271
97,0.07417981430567462,0.060223204913767335,0.07299849517973135,0.07097926039074111
98,0.07415718018560305,0.06023543592136336,0.07299527615986093,0.07096123271073722
99,0.07415045994692869,0.06024021615850171,0.07299287001417162,0.0709540865826521
100,0.07412730739529065,0.060231667681108,0.07297702523699637,0.07094741097287134
101,0.07410945674165995,0.06024653787202048,0.07298282017455181,0.07093067272382267
102,0.07408130900446445,0.06027156891637346,0.07295555500138362,0.07092060407572684
103,0.07405903769040256,0.06029252893508968,0.07295495436141845,0.07089541465171278
104,0.07405816955299761,0.06029556888748232,0.07295153486191815,0.07088696906949096
105,0.07401737383681038,0.06027566865900981,0.0729340923769345,0.07086125755589331
106,0.07399379210243417,0.06029090120877071,0.0729294235768507,0.07085406252691841
107,0.07396280987577956,0.060291170977313825,0.07290845859019837,0.07082979320943177
108,0.07391730291924363,0.06029505215237032,0.07289033227611627,0.07081522183311652
109,0.07393317957669775,0.06031947676870044,0.07289421541240021,0.07079961981986434
110,0.07389786481063092,0.06032649596996516,0.07288203578239649,0.0707676188313082
111,0.07385865079740339,0.060334545242930526,0.07285994388744438,0.07074837429889973
112,0.07383953117901194,0.060325337044906745,0.07283095285830536,0.07074291370026148
113,0.07375935840130428,0.06032136636245361,0.07281899403915683,0.0707093537615457
114,0.0737324984312212,0.060368789924984706,0.07280574843959157,0.07068688824455417
115,0.07372456928132898,0.06036349833801547,0.07278566402141748,0.07065945602162114
116,0.0736889594195098,0.06032761970026064,0.07276305747461079,0.07063361685662964
117,0.07362123484565512,0.06036163149484785,0.07274981573064887,0.07060066067900606
118,0.0735761533181615,0.06039782345388275,0.07272002368839446,0.07056319717771947
119,0.07354737375599141,0.06039975985149478,0.07270517051494683,0.07054087938637187
120,0.07350874052593272,0.06036916566451078,0.07268545136961305,0.07051948440784425
121,0.07342284954068103,0.06036946631696599,0.07265608480520531,0.07045357619299401
122,0.0733310671878636,0.060402762134631825,0.07261322595294245,0.07043051827709652
123,0.07328635962462653,0.06041615825836159,0.07258662881665037,0.07035869547763675
